Identifiant Client;Type de client;Age du client;Situation familiale;Ancienneté;Domiciliation du salaire;Domiciliation de l'épargne;Profession;Moyenne encours;Moyenne des mouvements;Cumul des débits;Autorisation de découvert;Interdiction de chéquier;Score 1;Score 2
1512;Bon client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;315;435
1518;Mauvais client;de 40 à  50 ans;divorcé;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;395;315
1525;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;515;410
1531;Bon client;moins de 23 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;350;585
1537;Bon client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;780;620
1543;Mauvais client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;450;435
1549;Mauvais client;plus de  50 ans;célibataire;anc. 1 an  ou moins;Non domicilié;moins de 10K épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;520;480
1555;Mauvais client;de 40 à  50 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;495;380
1561;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;235;520
1568;Mauvais client;moins de 23 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;360;655
1575;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;440;600
1581;Bon client;de 23 à 39 ans;divorcé;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;300;695
1587;Bon client;de 40 à  50 ans;célibataire;anc. 1 an  ou moins;Non domicilié;plus de 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;790;715
1593;Mauvais client;de 40 à  50 ans;divorcé;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   interdit;260;335
1599;Bon client;moins de 23 ans;célibataire;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;455;360
1605;Mauvais client;de 40 à  50 ans;marié;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;690;475
1611;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;210;450
1617;Bon client;plus de  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;805;720
1623;Bon client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;565;395
1629;Bon client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;745;460
1635;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   interdit;320;335
1643;Bon client;moins de 23 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;585;760
1649;Bon client;moins de 23 ans;divorcé;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;180;385
1655;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;435;520
1661;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;690;705
1667;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;445;570
1673;Bon client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;535;545
1679;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;770;705
1685;Bon client;de 40 à  50 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;335;455
1691;Bon client;moins de 23 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;275;445
1697;Bon client;plus de  50 ans;divorcé;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 30 à 50K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;575;670
1703;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;670;770
1709;Bon client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;815;705
1715;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;805;655
1721;Bon client;moins de 23 ans;célibataire;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;570;505
1727;Bon client;plus de  50 ans;marié;anc. de 1  à 4 ans;Oui domicilié;de 10 à 100K épargne;cadre;plus de 5 K encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;795;740
1733;Bon client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   interdit;465;275
1739;Mauvais client;de 23 à 39 ans;divorcé;anc. 1 an  ou moins;Non domicilié;pas d'épargne;cadre;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;455;50
1745;Mauvais client;de 40 à  50 ans;divorcé;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;670;375
1751;Mauvais client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;620;555
1757;Bon client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;555;535
1763;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;860;680
1769;Mauvais client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   interdit;595;425
1775;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;moins de 2K encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;295;300
1782;Bon client;plus de  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;de 10 à 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;815;725
1788;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;945;735
1794;Bon client;de 40 à  50 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;625;510
1800;Bon client;de 40 à  50 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;660;610
1806;Bon client;moins de 23 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;385;535
1813;Bon client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;395;465
1820;Bon client;de 40 à  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;655;640
1826;Bon client;moins de 23 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;475;525
1832;Bon client;plus de  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;de 10 à 100K épargne;cadre;plus de 5 K encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;920;685
1838;Bon client;de 40 à  50 ans;marié;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;450;580
1844;Bon client;de 23 à 39 ans;marié;anc. de 4  à 6 ans;Oui domicilié;moins de 10K épargne;employé;plus de 5 K encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;650;765
1850;Mauvais client;plus de  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;490;585
1856;Mauvais client;de 23 à 39 ans;marié;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;employé;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;415;180
1862;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;400;200
1868;Mauvais client;de 23 à 39 ans;marié;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;employé;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;470;210
1874;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;295;70
1880;Mauvais client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;825;480
1886;Mauvais client;plus de  50 ans;veuf;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;moins de 2K encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;500;360
1892;Mauvais client;de 40 à  50 ans;marié;anc. plus   12 ans;Non domicilié;pas d'épargne;employé;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;435;420
1898;Mauvais client;plus de  50 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;moins de 2K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;640;260
1904;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;300;255
1910;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;350;460
1916;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   interdit;300;340
1922;Mauvais client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;570;445
0005;Mauvais client;de 23 à 39 ans;célibataire;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;305;355
0011;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;320;265
0018;Mauvais client;plus de  50 ans;veuf;anc. 1 an  ou moins;Non domicilié;pas d'épargne;cadre;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;785;325
0024;Mauvais client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;635;335
0030;Mauvais client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;300;465
0036;Mauvais client;plus de  50 ans;célibataire;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   interdit;660;345
0042;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   interdit;415;340
0048;Mauvais client;moins de 23 ans;marié;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;545;490
0054;Mauvais client;plus de  50 ans;divorcé;anc. 1 an  ou moins;Non domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;610;405
0060;Mauvais client;de 40 à  50 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;420;420
0066;Mauvais client;plus de  50 ans;marié;anc. de 6  à 12 ans;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   interdit;875;395
0072;Mauvais client;de 40 à  50 ans;marié;anc. de 1  à 4 ans;Non domicilié;de 10 à 100K épargne;employé;plus de 5 K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;720;640
0078;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;employé;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;780;445
0084;Mauvais client;de 23 à 39 ans;marié;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;420;540
0090;Mauvais client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;435;390
0096;Mauvais client;de 40 à  50 ans;divorcé;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;395;440
0102;Mauvais client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;645;625
0109;Mauvais client;moins de 23 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;630;440
0115;Mauvais client;de 40 à  50 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;375;440
0121;Mauvais client;plus de  50 ans;divorcé;anc. 1 an  ou moins;Non domicilié;pas d'épargne;cadre;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;455;190
0128;Mauvais client;de 40 à  50 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;305;455
0134;Mauvais client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;365;520
0140;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;195;410
0146;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;370;405
0152;Mauvais client;plus de  50 ans;veuf;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;495;455
0158;Mauvais client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   interdit;325;375
0164;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;435;540
0170;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;235;335
0176;Mauvais client;plus de  50 ans;divorcé;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;585;435
0182;Mauvais client;de 40 à  50 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;cadre;moins de 2K encours;de 10 à 30K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;650;275
0188;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;265;500
0194;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;505;410
0200;Mauvais client;de 40 à  50 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;moins de 10K épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   interdit;380;470
0207;Mauvais client;de 23 à 39 ans;célibataire;anc. de 6  à 12 ans;Non domicilié;moins de 10K épargne;employé;plus de 5 K encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;470;665
0212;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;395;445
0218;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;moins de 2K encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;265;230
0224;Mauvais client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;435;505
0230;Mauvais client;de 23 à 39 ans;célibataire;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;405;505
0236;Mauvais client;moins de 23 ans;célibataire;anc. de 1  à 4 ans;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;335;360
0243;Mauvais client;de 23 à 39 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   autorisé;310;535
0249;Mauvais client;plus de  50 ans;divorcé;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;610;575
0255;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;195;465
0261;Mauvais client;de 23 à 39 ans;divorcé;anc. de 6  à 12 ans;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;355;570
0267;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;350;465
0273;Mauvais client;plus de  50 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;de 10 à 30K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   interdit;840;275
0279;Mauvais client;de 40 à  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;autre;moins de 2K encours;plus de 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;780;540
0285;Mauvais client;de 23 à 39 ans;divorcé;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   interdit;275;290
0291;Mauvais client;moins de 23 ans;célibataire;anc. de 4  à 6 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;255;375
0297;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;plus de 100  débits;découvert  interdit;chéquier   autorisé;325;335
0303;Mauvais client;de 23 à 39 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   interdit;640;340
0309;Mauvais client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;de 2 à 5 K  encours;moins 10 K  mouvt;plus de 100  débits;découvert  interdit;chéquier   interdit;295;205
0315;Mauvais client;plus de  50 ans;veuf;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;autre;moins de 2K encours;moins 10 K  mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;375;320
0321;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;plus de 100  débits;découvert  interdit;chéquier   interdit;620;310
0327;Mauvais client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Non domicilié;pas d'épargne;autre;moins de 2K encours;de 30 à 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;225;365
0333;Mauvais client;plus de  50 ans;veuf;anc. 1 an  ou moins;Non domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;515;535
0339;Mauvais client;de 23 à 39 ans;marié;anc. 1 an  ou moins;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   interdit;370;330
